"('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Pós-graduação,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Automotivo,ES,Analytics Engineer,SQL,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Tecnologia/Fábrica de Software,SC,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,Scala,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,PR,Cientista de Dados/Data Scientist,Scala,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,,,,,,,,,,,,,,,,,Masculino,Parda,Tecnologia/Fábrica de Software,MT,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SP,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Pleno,,,,,,,,,,,,,,,,Masculino,Parda,Tecnologia/Fábrica de Software,RJ,Analista de Suporte/Analista Técnico,,,,,,,,,,,
Mestrado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Público,DF,Analista de Negócios/Business Analyst,R,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Outra Opção,RJ,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 25.001/mês a R$ 30.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Varejo,SP,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Telecomunicação,SP,Analista de BI/BI Analyst,SQL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,PR,Outra Opção,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,RJ,Cientista de Dados/Data Scientist,Python,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 12.001/mês a R$ 16.000/mês,Não tenho experiência na área de dados,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Parda,Finanças ou Bancos,SP,Analista de Suporte/Analista Técnico,Não utilizo nenhuma das linguagens listadas,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Finanças ou Bancos,PR,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Público,RJ,Outra Opção,Python,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,PI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Indústria,PR,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Preta,Finanças ou Bancos,RS,Analista de Negócios/Business Analyst,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Tecnologia/Fábrica de Software,SE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,CE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,SQL,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,RS,Analista de Dados/Data Analyst,SQL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 30.001/mês a R$ 40.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Tecnologia/Fábrica de Software,SP,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Setor Público,DF,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Varejo,SC,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Analista de BI/BI Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Outra Opção,PR,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Python,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Varejo,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Outra Opção,BA,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Não tenho graduação formal,,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Outra,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,Python,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Indústria,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Telecomunicação,PR,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor de Energia,PB,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,ES,Analytics Engineer,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Telecomunicação,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,,,,,,,,,,,,,,,,,Masculino,Parda,Tecnologia/Fábrica de Software,SP,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,Acima de R$ 40.001/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Outra Opção,BA,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,PR,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Área de Consultoria,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Amarela,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,SQL,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Indústria,SP,Analista de Dados/Data Analyst,SQL,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Finanças ou Bancos,SP,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Indústria,PR,Analista de BI/BI Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Educação,BA,Professor/Pesquisador,Python,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Setor de Energia,PR,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Telecomunicação,SP,Analista de Suporte/Analista Técnico,Não utilizo nenhuma das linguagens listadas,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Marketing,DF,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Internet/Ecommerce,SP,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Outras Engenharias,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Outra Opção,PE,Cientista de Dados/Data Scientist,Python,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Outra Opção,SP,Analista de BI/BI Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,Outra opção,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Área de Consultoria,RS,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,SC,Analista de BI/BI Analyst,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Tecnologia/Fábrica de Software,SP,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Área de Consultoria,GO,Cientista de Dados/Data Scientist,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Educação,SP,Analytics Engineer,SQL,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
